# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
ding shang 	盯上	c=1 d=1 t=17910
ding shang 	訂上	c=1 d=1 t=52361
ding shi 	定時	c=7 d=1.60554 t=76578
ding shi jian 	定时间	c=2 d=1.47237 t=86853
ding shi ren wu 	定时任务	c=1 d=1 t=64666
ding ti 	頂替	c=1 d=1 t=79039
ding tou 	定投	c=2 d=1.98511 t=65124
ding tou 	頂頭	c=1 d=1 t=65120
ding wan 	定完	c=1 d=1 t=73962
ding wei 	定位	c=6 d=1 t=130316
ding wei yi xia 	定位一下	c=1 d=1 t=131930
ding wo 	頂我	c=2 d=1 t=51489
ding xia lai 	定下來	c=1 d=1 t=35126
ding xing 	定性	c=3 d=1 t=96906
ding yi 	定義	c=37 d=1.00001 t=125749
ding yi wei 	定义为	c=1 d=1 t=25185
ding yi xia 	盯一下	c=1 d=1 t=66502
ding yi yu 	定義域	c=1 d=1 t=6387
ding yue 	訂閱	c=5 d=1.10294 t=121127
ding yue di zhi 	訂閱地址	c=1 d=1 t=121113
ding zhe 	盯着	c=4 d=1 t=85105
ding zhe 	頂着	c=1 d=1 t=23315
ding zhi 	定製	c=2 d=1.09926 t=77854
ding zhu 	頂住	c=1 d=1 t=109469
diu 	丟	c=10 d=1 t=121279
diu da 	丟大	c=1 d=0.1 t=105507
diu da fa 	丟大發	c=1 d=1 t=105508
diu jin 	丟進	c=2 d=1 t=83432
diu la ji 	丟垃圾	c=2 d=1 t=100307
diu le 	丟了	c=4 d=1 t=122872
diu lian 	丟臉	c=1 d=1 t=105507
diu ren 	丟人	c=1 d=1 t=51356
diu shi 	丟失	c=1 d=1 t=60281
dong 	冬	c=2 d=1.72253 t=119081
dong 	凍	c=1 d=1 t=41127
dong 	動	c=7 d=1.42291 t=114246
dong 	咚	c=0 d=0.1 t=94758
dong 	懂	c=17 d=1 t=122585
dong 	東	c=2 d=1 t=111501
dong 	棟	c=2 d=1.98511 t=70638
dong 	董	c=1 d=1 t=30137
dong bei 	東北	c=1 d=1 t=117894
dong bei da xue 	東北大學	c=1 d=1 t=123466
dong chen 	东晨	c=2 d=1 t=69317
dong cheng 	凍成	c=1 d=1 t=129156
dong da 	東大	c=1 d=1 t=100359
dong dang 	動盪	c=1 d=1 t=28968
dong dang bu an 	動盪不安	c=1 d=1 t=34425
dong dao zi 	動刀子	c=1 d=1 t=33951
dong de 	懂的	c=3 d=1 t=73221
dong dong 	咚咚	c=0 d=0.1 t=94758
dong dong 	洞洞	c=1 d=1 t=72812
dong dong 	鼕鼕	c=0 d=0.1 t=119013
dong dong dong 	咚咚咚	c=2 d=1.97531 t=94764
dong fang 	東方	c=0 d=0.1 t=105268
dong fang gong 	東方宮	c=1 d=1 t=51827
dong fang hong 	東方紅	c=0 d=0.199501 t=40931
dong fang hong feng ge 	東方紅風格	c=1 d=1 t=40931
dong fang yao 	東方曜	c=1 d=1 t=105269
dong gan 	動感	c=1 d=1 t=107590
dong ge 	东哥	c=3 d=1 t=121987
dong ge 	冬哥	c=3 d=2.43182 t=119053
dong ge pi 	懂个屁	c=1 d=1 t=60800
dong huang 	东皇	c=18 d=1 t=119226
dong jia 	東家	c=0 d=0.1 t=121505
dong jing 	東京	c=2 d=1.99501 t=41895
dong le 	懂了	c=50 d=1.00044 t=133257
dong li 	東里	c=5 d=1.00113 t=134300
dong liang 	動量	c=12 d=1.73438 t=32456
dong lou 	东楼	c=2 d=1 t=83978
dong man 	動漫	c=2 d=1 t=63913
dong nan ya 	東南亞	c=2 d=1 t=118787
dong shen 	動身	c=1 d=1 t=25921
dong sheng 	東昇	c=1 d=1 t=17895
dong shi 	董事	c=1 d=1 t=123935
dong shou 	動手	c=4 d=0.1 t=108951
dong shou le 	動手了	c=1 d=1 t=108952
dong si 	凍死	c=1 d=1 t=112790
dong tai 	動態	c=7 d=1 t=125120
dong tian 	冬天	c=1 d=1 t=107545
dong wo 	懂我	c=1 d=1 t=88062
dong wu 	動物	c=1 d=1 t=113815
dong xi 	東西	c=105 d=1 t=133425
dong xi ba 	东西吧	c=1 d=1 t=76210
dong xiao qu 	东校区	c=1 d=1 t=52240
dong zhang 	动账	c=2 d=1.97045 t=50073
dong zhu 	凍住	c=6 d=1.77492 t=129170
dong zi 	東子	c=1 d=1 t=8814
dong zuo 	動作	c=9 d=1 t=108503
dong zuo lu jing 	動作路徑	c=1 d=1 t=19242
dou 	抖	c=3 d=1 t=85039
dou 	豆	c=0 d=0.1 t=124554
dou 	逗	c=2 d=1 t=80747
dou 	都	c=491 d=2.85017 t=134001
dou 	鬥	c=1 d=1 t=86677
dou ai 	都愛	c=1 d=1 t=1240
dou bei 	都被	c=8 d=1 t=79718
dou bei ren 	都被人	c=1 d=1 t=35438
dou bian cheng 	都变成	c=1 d=1 t=64061
dou bie 	都别	c=1 d=1 t=133950
dou bu 	都不	c=2 d=0.1 t=134365
dou bu cun zai 	都不存在	c=1 d=1 t=28263
dou bu cuo 	都不错	c=1 d=1 t=64110
dou bu da 	都不打	c=1 d=1 t=129558
dou bu dao wei 	都不到位	c=1 d=1 t=87118
dou bu gan xing qu 	都不感興趣	c=1 d=1 t=26602
dou bu gou 	都不够	c=2 d=1 t=63981
dou bu huan 	都不換	c=1 d=1 t=19059
dou bu huan 	都不還	c=1 d=1 t=23900
dou bu hui 	都不會	c=2 d=1 t=91406
dou bu hui wan 	都不會完	c=1 d=1 t=20664
dou bu jing ya 	都不驚訝	c=1 d=1 t=66015
dou bu li wo 	都不理我	c=1 d=1 t=61274
dou bu neng 	都不能	c=1 d=1 t=36508
dou bu qiang 	都不強	c=1 d=1 t=110794
dou bu que ding 	都不确定	c=1 d=1 t=35461
dou bu ren shi 	都不認識	c=1 d=1 t=38980
dou bu sha 	都不傻	c=1 d=1 t=89564
dou bu shi he 	都不適合	c=1 d=1 t=57713
dou bu suan 	都不算	c=1 d=1 t=17271
dou bu tai gao 	都不太高	c=1 d=1 t=134366
dou bu tai xing 	都不太行	c=1 d=1 t=90871
dou bu yao 	都不要	c=3 d=1 t=118235
dou bu yi yang 	都不一样	c=1 d=1 t=64067
dou bu yong 	都不用	c=1 d=1 t=36049
dou bu zhi dao 	都不知道	c=10 d=1 t=130104
dou bu zhu 	兜不住	c=1 d=1 t=5513
dou chu 	都出	c=2 d=1 t=129086
dou dang 	都当	c=1 d=1 t=53568
dou dei 	都得	c=4 d=1 t=127701
dou dei yao 	都得要	c=1 d=1 t=33930
dou dei zou 	都得走	c=1 d=1 t=30235
dou deng ni 	都等你	c=2 d=1 t=87151
dou di 	都低	c=2 d=1.17464 t=22183
dou dong 	抖動	c=2 d=1.956 t=5861
dou dou 	豆豆	c=0 d=0.1 t=22230
dou dou 	逗逗	c=2 d=1 t=100053
dou gao 	都高	c=1 d=1 t=61445
dou ge 	都割	c=1 d=1 t=55047
dou gei 	都給	c=1 d=1 t=81508
dou gen 	都跟	c=2 d=1 t=118590
dou hai hao 	都還好	c=2 d=1 t=89563
dou hai xing 	都还行	c=1 d=1 t=85874
dou hao 	逗號	c=2 d=1 t=92697
dou hao 	都好	c=1 d=1 t=127700
dou hao xiu 	都好秀	c=1 d=1 t=122016
dou hen cai 	都很菜	c=1 d=1 t=96803
dou hen da 	都很大	c=1 d=1 t=127689
dou hen ke pa 	都很可怕	c=1 d=1 t=40303
dou hen qiang 	都很强	c=1 d=1 t=58128
dou hen shao 	都很少	c=1 d=1 t=20630
dou hui 	都回	c=1 d=1 t=16053
dou hui 	都會	c=18 d=1 t=124187
dou hui huang 	都會黃	c=1 d=1 t=91100
dou hui you 	都会有	c=1 d=1 t=30620
dou jia 	都加	c=1 d=1 t=54063
dou jiang 	豆漿	c=1 d=1 t=78858
dou jiao 	都叫	c=1 d=1 t=81529
dou kai 	抖開	c=1 d=1 t=72581
dou kan 	都看	c=2 d=1 t=37225
dou kan guo 	都看过	c=1 d=1 t=26598
dou kao 	都靠	c=2 d=1 t=110978
dou kao ta 	都靠他	c=1 d=1 t=56724
dou ke yi 	都可以	c=16 d=1 t=129999
dou kuai 	都快	c=3 d=1 t=95440
dou lai 	都来	c=2 d=1 t=90314
dou lao tou er 	都老頭兒	c=1 d=1 t=7886
dou li hai 	都厲害	c=2 d=1 t=63313
dou mao 	逗猫	c=2 d=1 t=62612
dou mei 	都沒	c=5 d=1 t=103454
dou mei fan ying 	都没反应	c=1 d=1 t=44986
dou mei kan jian 	都没看见	c=1 d=1 t=84685
dou mei shen me 	都没什么	c=1 d=1 t=111555
dou mei shui jiao 	都沒睡覺	c=1 d=1 t=11307
dou mei shuo 	都没说	c=1 d=1 t=67345
dou mei wan 	都沒完	c=1 d=1 t=94708
dou mei wen ti 	都没问题	c=2 d=1 t=132356
dou mei you 	都沒有	c=20 d=1.02065 t=124975
dou neng 	都能	c=29 d=1.94788 t=123812
dou neng gan 	都能幹	c=1 d=1 t=64206
dou neng gei 	都能給	c=1 d=1 t=123714
dou neng kan 	都能看	c=1 d=1 t=56073
dou neng ying 	都能赢	c=1 d=1 t=47773
dou peng 	斗篷	c=2 d=1.97045 t=40735
dou qiang 	都强	c=1 d=1 t=11842
dou qiao 	陡峭	c=1 d=1 t=24454
dou qu 	都去	c=1 d=1 t=29131
dou ren wei 	都认为	c=1 d=1 t=51892
dou shi 	都市	c=1 d=1 t=54
dou shi 	都是	c=251 d=1.00072 t=134556
dou shu yu 	都屬於	c=2 d=1 t=44097
dou shuo 	都說	c=9 d=1 t=127263
dou suan 	都算	c=1 d=1 t=85061
dou wang ji 	都忘记	c=1 d=1 t=20794
dou xi huan 	都喜欢	c=1 d=1 t=88248
dou xiang 	都想	c=2 d=1 t=104027
dou xiang hao 	都想好	c=1 d=1 t=57073
dou xiang qi lai 	都想起來	c=1 d=1 t=89256
dou xiang qing chu 	都想清楚	c=1 d=1 t=9611
dou xiang tong 	都相同	c=1 d=1 t=27298
dou xiang zuo 	都想做	c=1 d=1 t=126811
dou xin 	都信	c=1 d=1 t=23560
dou xing 	都行	c=22 d=1 t=134443
dou xu yao 	都需要	c=2 d=1 t=40400
dou yao 	都要	c=29 d=1 t=128744
dou yao qiu 	都要求	c=1 d=1 t=13905
dou yi ban 	都一般	c=1 d=1 t=1633
dou yin 	抖音	c=8 d=1 t=134666
dou ying gai 	都應該	c=1 d=1 t=76294
dou yong 	都用	c=1 d=1 t=49547
dou you 	都有	c=35 d=1.00001 t=134596
dou you dian 	都有点	c=1 d=1 t=9684
dou you ren 	都有人	c=1 d=1 t=92247
dou you shui 	都有誰	c=1 d=1 t=20448
dou you yi xie 	都有一些	c=1 d=1 t=72571
dou zai 	都再	c=0 d=0.1 t=6587
dou zai 	都在	c=21 d=1 t=134824
dou zai zhe 	都再這	c=1 d=1 t=6588
dou zheng 	鬥爭	c=1 d=1 t=117494
dou zhi dao 	都知道	c=2 d=1 t=39477
dou zhi de 	都值得	c=1 d=1 t=21584
dou zhi yao 	都只要	c=1 d=1 t=1464
dou zhua zou 	都抓走	c=1 d=1 t=6656
dou zou 	都走	c=1 d=1 t=25491
dou zuo 	都做	c=1 d=1 t=134590
du 	度	c=14 d=0.577152 t=128232
du 	獨	c=2 d=1.95123 t=102323
du 	讀	c=14 d=0.32091 t=123332
du 	賭	c=2 d=1 t=125483
du bu liao 	讀不了	c=1 d=1 t=20885
du chang 	督場	c=1 d=1 t=111521
du che 	堵車	c=1 d=1 t=88124
du chu lai 	讀出來	c=1 d=1 t=15169
du chu lai 	都出來	c=1 d=1 t=15168
du da 	毒打	c=1 d=1 t=132933
du da 	獨大	c=0 d=0.1 t=79135
du dong 	讀懂	c=1 d=0.1 t=26072
du du 	嘟嘟	c=1 d=1 t=69395
du du 	都督	c=1 d=0.1 t=121170
du ge 	读个	c=2 d=1.98511 t=75444
du if 	度if	c=1 d=1 t=128560
du jia 	獨家	c=1 d=1 t=128834
du jie 	渡劫	c=3 d=1.96561 t=104575
du jin 	讀進	c=0 d=0.1 t=31048
du jin lai 	讀進來	c=1 d=1 t=31049
du ju 	獨居	c=1 d=1 t=78958
du le 	讀了	c=1 d=1 t=53307
du li 	獨立	c=15 d=1 t=127746
du liang 	度量	c=13 d=1 t=103501
du liu 	毒瘤	c=1 d=1 t=72763
du long 	獨龍	c=1 d=1 t=36362
du miao 	讀秒	c=2 d=1 t=106101
du mu 	獨木	c=2 d=1 t=134439
du qu 	讀取	c=13 d=1.79057 t=89685
du qu bu dao 	讀取不到	c=1 d=1 t=60017
du re bian ma 	獨熱編碼	c=1 d=1 t=45104
du ri 	度日	c=1 d=1 t=35142
du sheng 	獨生	c=1 d=1 t=78327
du sheng nv 	獨生女	c=1 d=1 t=78290
du shu 	讀書	c=2 d=1 t=51717
du shu ju 	读数据	c=1 d=1 t=31034
du te 	獨特	c=2 d=1 t=78922
du tun 	獨吞	c=1 d=1 t=104024
du wen jian 	读文件	c=1 d=1 t=59387
du xiao man 	度小满	c=4 d=1.6942 t=46068
du xie 	讀寫	c=2 d=1.0147 t=57534
du xing 	毒性	c=1 d=1 t=129497
du yan 	讀研	c=1 d=1 t=112319
du yi 	獨一	c=0 d=0.1 t=68517
du yi ba 	賭一把	c=1 d=1 t=54239
du yi dang 	獨一檔	c=3 d=1 t=71515
du yi xia 	读一下	c=1 d=1 t=2152
du you 	獨有	c=1 d=1 t=16448
du zhe 	讀者	c=1 d=1 t=13274
du zhu 	賭注	c=1 d=1 t=56006
du zhuan 	杜撰	c=1 d=1 t=133928
du zi 	犢子	c=4 d=1 t=132307
du zi 	獨子	c=1 d=1 t=88549
du zi 	獨自	c=8 d=1 t=129433
du zi 	肚子	c=2 d=1 t=95469
duan 	斷	c=7 d=1 t=121747
duan 	段	c=7 d=1.00052 t=77267
duan 	短	c=4 d=1 t=127083
duan 	端	c=5 d=1 t=134702
duan ban 	短板	c=4 d=1 t=128622
duan dui 	段隊	c=1 d=1 t=110912
duan jian 	短劍	c=1 d=1 t=20600
duan kai 	斷開	c=1 d=1 t=4190
duan kou 	端口	c=16 d=1.00003 t=74473
duan le 	斷了	c=1 d=1 t=82811
duan lian 	斷鏈	c=2 d=1 t=66125
duan lian 	鍛鍊	c=1 d=1 t=40223
duan pian 	短片	c=1 d=1 t=64443
duan pian 	短篇	c=1 d=1 t=64444
duan qi 	短期	c=3 d=1 t=112485
duan shi 	短視	c=1 d=1 t=117846
duan shi pin 	短视频	c=2 d=1 t=134748
duan tou 	短頭	c=0 d=0.1 t=17753
duan tou fa 	短頭發	c=1 d=1 t=17754
duan wei 	段位	c=23 d=1 t=129012
duan wen ben 	段文本	c=1 d=1 t=50305
duan xin 	短信	c=70 d=1 t=125705
duan xin shu liang 	短信数量	c=1 d=1 t=78968
duan xiu 	短袖	c=1 d=1 t=107209
duan yan 	斷言	c=1 d=1 t=71101
duan yi dian 	短一點	c=1 d=1 t=118328
duan you 	端由	c=1 d=1 t=19279
duan yu 	短語	c=2 d=1.98511 t=3389
duan zi 	段子	c=1 d=1 t=81950
dui 	堆	c=10 d=1.0599 t=103639
dui 	對	c=168 d=1.00275 t=134085
dui 	懟	c=6 d=1 t=75187
dui 	隊	c=6 d=1 t=108169
dui a 	對啊	c=3 d=1 t=130454
dui ba 	对吧	c=6 d=1 t=64158
dui bi 	對比	c=22 d=1 t=110483
dui biao 	对标	c=3 d=1 t=118949
dui bu dui 	對不對	c=2 d=1 t=63621
dui bu qi 	對不起	c=9 d=1 t=100175
dui bu shang 	對不上	c=2 d=1 t=85476
dui chen 	對稱	c=10 d=1 t=126611
dui cheng xing 	對稱性	c=1 d=1 t=6158
dui dai 	對待	c=2 d=1 t=102213
dui du 	对赌	c=1 d=1 t=131717
dui dui hu 	對對胡	c=1 d=1 t=40624
dui fang 	對方	c=11 d=1 t=128561
dui fu 	對付	c=3 d=1 t=117144
dui ge shu 	對個數	c=1 d=1 t=17171
dui hao 	對號	c=1 d=1 t=85987
dui hua 	對話	c=8 d=1.00001 t=128681
dui jiao xian 	對角線	c=1 d=1 t=97286
dui jie 	對戒	c=1 d=1 t=18085
dui jie 	對接	c=8 d=1 t=130847
dui ju 	對局	c=2 d=1.00271 t=86190
dui jue 	對決	c=2 d=1 t=112277
dui kang 	對抗	c=6 d=1.0095 t=40168
dui le 	對了	c=7 d=1 t=124095
dui lie 	隊列	c=12 d=1 t=130685
dui ma 	對嗎	c=4 d=1 t=107726
dui mian 	對面	c=133 d=2.00284 t=132794
dui nei 	對內	c=1 d=1 t=69952
dui ni 	對你	c=4 d=1 t=118207
dui o 	对哦	c=1 d=1 t=15452
dui ou 	對偶	c=1 d=1 t=41892
dui pin 	對拼	c=1 d=1 t=56796
dui qi lai 	堆起來	c=1 d=1 t=46033
dui ren 	怼人	c=1 d=1 t=25864
dui shou 	對手	c=16 d=1.38299 t=109010
dui shu 	對數	c=3 d=1 t=115029
dui ta 	對他	c=2 d=1 t=72000
dui ta men 	对他们	c=1 d=1 t=124304
dui wai 	對外	c=4 d=1 t=93232
dui wai jing mao 	對外經貿	c=1 d=1 t=10325
dui wei 	對位	c=3 d=2.95072 t=23573
dui wo 	對我	c=5 d=1 t=133936
dui wo men lia 	對我們倆	c=1 d=1 t=66889
dui wu 	隊伍	c=3 d=1 t=124690
dui wu li 	队伍里	c=1 d=1 t=133777
dui xian 	兌現	c=3 d=1 t=117198
dui xian 	对线	c=6 d=1 t=63509
dui xiang 	對象	c=13 d=1 t=96461
dui ying 	對應	c=28 d=1 t=131082
dui ying 	懟贏	c=1 d=1 t=21561
dui you 	隊友	c=47 d=1 t=134211
dui yu 	對於	c=72 d=1.12682 t=130554
dui yuan 	隊員	c=2 d=0.1 t=61810
dui zhao biao 	對照表	c=1 d=1 t=65566
dui zhe 	對着	c=1 d=1 t=18621
dui zhe wo 	对着我	c=1 d=1 t=26462
dui zi ji 	对自己	c=1 d=1 t=52083
dun 	盾	c=5 d=1 t=124947
dun 	蹲	c=8 d=1 t=129129
dun 	頓	c=1 d=1 t=120814
dun dao 	蹲到	c=1 d=1 t=111573
dun ge 	蹲個	c=1 d=1 t=117380
dun hao 	蹲好	c=1 d=1 t=28607
dun ni 	蹲你	c=1 d=1 t=33815
dun ren 	蹲人	c=2 d=1 t=107018
dun shan 	盾山	c=5 d=1.99501 t=117222
dun zhe 	蹲着	c=2 d=1 t=121956
dun zong 	頓總	c=1 d=1 t=121255
duo 	多	c=95 d=1.23468 t=133356
duo 	朵	c=1 d=1 t=116586
duo 	躲	c=5 d=1 t=121949
duo bao 	夺宝	c=1 d=1 t=102973
duo bu 	多不	c=1 d=1 t=87782
duo bu 	多部	c=1 d=1 t=42287
duo ceng 	多層	c=4 d=1.0091 t=20970
duo chang 	多場	c=1 d=1 t=40078
duo chang shi jian 	多長時間	c=1 d=1 t=46626
duo chi dian 	多吃点	c=2 d=1.0599 t=112805
duo chong 	多重	c=1 d=1 t=5116
duo chu 	多出	c=1 d=1 t=129240
duo ci 	多次	c=2 d=1 t=101327
duo cong 	多從	c=1 d=1 t=25543
duo cui 	奪萃	c=1 d=1 t=90973
duo da 	多大	c=8 d=1 t=126137
duo de duo 	多得多	c=1 d=1 t=39332
duo dian 	多點	c=1 d=1 t=69089
duo du 	多读	c=1 d=1 t=59434
duo duo 	朵朵	c=1 d=1 t=111468
duo fen lei 	多分类	c=3 d=1 t=116001
duo gao 	多搞	c=1 d=1 t=94401
duo ge 	多個	c=23 d=1 t=106338
duo ge ci 	多個詞	c=1 d=1 t=16698
duo gei 	多給	c=1 d=1 t=124324
duo geng xin 	多更新	c=1 d=1 t=75797
duo guo 	躲過	c=0 d=0.1 t=41128
duo guo yi jie 	躲過一劫	c=1 d=1 t=41129
duo he 	多核	c=1 d=1 t=59728
duo jia 	多家	c=1 d=1 t=38093
duo jiao 	多交	c=1 d=1 t=28232
duo jin cheng 	多进程	c=21 d=1.99906 t=83072
duo jiu 	多久	c=9 d=1 t=123571
duo kan kan 	多看看	c=1 d=1 t=92395
duo kan yi yan 	多看一眼	c=1 d=1 t=131993
duo ke 	多棵	c=1 d=1 t=111447
duo kui 	多虧	c=7 d=1 t=127789
duo kui le 	多亏了	c=1 d=1 t=120934
duo le 	多了	c=10 d=1 t=111838
duo lian lian 	多練練	c=1 d=1 t=40036
duo liao jie 	多了解	c=1 d=1 t=73131
duo liu 	多留	c=1 d=1 t=127894
duo ma 	多吗	c=2 d=1 t=60384
duo qi lai 	躲起來	c=1 d=1 t=95749
duo qiang 	多強	c=1 d=0.1 t=126475
duo qu 	多去	c=1 d=1 t=120959
duo ren 	多人	c=2 d=1 t=100696
duo ren wu 	多任務	c=2 d=1.00001 t=41310
duo ri 	多日	c=1 d=1 t=55293
duo shang chuan 	多上傳	c=1 d=1 t=75800
duo shao 	多少	c=67 d=1.00008 t=132618
duo shao qian 	多少錢	c=1 d=1 t=88905
duo shao tian 	多少天	c=1 d=1 t=2884
duo shou 	剁手	c=1 d=1 t=111568
duo shu ju yuan 	多数据源	c=4 d=1 t=44519
duo shuang 	多爽	c=1 d=1 t=127805
duo shui 	多睡	c=1 d=1 t=85312
duo tai 	多态	c=1 d=1 t=74680
duo tou 	多頭	c=2 d=1 t=93338
duo xian cheng 	多線程	c=2 d=1.85642 t=49976
duo xiang shi 	多項式	c=1 d=1 t=16184
duo xie 	多謝	c=42 d=1 t=133358
duo xue yi dian 	多学一点	c=1 d=1 t=127197
duo yang hua 	多樣化	c=2 d=1.99005 t=3459
duo yang xing 	多樣性	c=3 d=1 t=42925
duo yao dian 	多要點	c=1 d=1 t=126326
duo yi 	多義	c=0 d=0.1 t=87699
duo yi ci 	多義詞	c=2 d=1.81873 t=103764
duo yi dian 	多一點	c=3 d=1 t=73532
duo yi ge 	多一个	c=1 d=1 t=57002
duo yi xie 	多一些	c=8 d=1 t=128273
duo yu 	多餘	c=6 d=1 t=126057
duo yu yan 	多語言	c=1 d=1 t=122916
duo yuan 	多源	c=1 d=1 t=874
duo yuan 	多遠	c=1 d=1 t=39909
duo yuan hua 	多元化	c=1 d=1 t=65265
duo zhang 	多張	c=1 d=1 t=41657
duo zhen rong 	多陣容	c=1 d=1 t=99827
duo zhong 	多種	c=1 d=1 t=59070
e 	俄	c=1 d=1 t=18691
e 	惡	c=1 d=1 t=72993
e 	鄂	c=2 d=1 t=43619
e 	額	c=16 d=1 t=113669
e 	餓	c=3 d=1 t=109876
e 	鵝	c=1 d=1 t=119808
e du 	額度	c=28 d=1.34721 t=126072
e le 	饿了	c=3 d=1 t=125937
e le me 	饿了么	c=6 d=1 t=125987
e luo si 	俄羅斯	c=1 d=1 t=95203
e mo 	惡魔	c=1 d=1 t=97468
e si le 	餓死了	c=1 d=1 t=35293
e wai 	額外	c=11 d=1 t=105871
e xi 	惡習	c=1 d=1 t=19090
e xin 	噁心	c=10 d=1.00228 t=134293
e yu 	鱷魚	c=1 d=1 t=132868
e zha le 	餓炸了	c=1 d=1 t=23647
e zhan 	惡戰	c=1 d=1 t=105319
e zhu 	惡豬	c=1 d=1 t=28325
ei 	欸	c=8 d=1 t=134110
ei ei ei 	誒誒誒	c=1 d=1 t=87323
else 	else	c=1 d=1 t=36482
en 	嗯	c=534 d=1.9204 t=134552
en chou 	恩仇	c=1 d=1 t=54821
en en 	嗯嗯	c=104 d=1.15981 t=134519
en en en 	嗯嗯嗯	c=1 d=0.1 t=91664
en en en en en 	嗯嗯嗯嗯嗯	c=1 d=1 t=91665
en heng 	嗯哼	c=2 d=1 t=32515
en ne 	嗯呢	c=1 d=1 t=67869
en xu 	恩恤	c=1 d=1 t=15501
en yuan 	恩怨	c=0 d=0.1 t=34759
en zhe 	嗯這	c=1 d=1 t=29705
er 	二	c=6 d=1 t=130974
er 	兒	c=11 d=1.8106 t=134026
er 	爾	c=1 d=1 t=119382
er 	而	c=27 d=1 t=132679
er bi 	二逼	c=2 d=1.01284 t=131563
er bu shi 	而不是	c=2 d=1 t=73478
er cha 	二叉	c=4 d=1.05475 t=95453
er cha shu 	二叉樹	c=7 d=1 t=126612
er cheng 	二乘	c=1 d=1 t=109979
er ci 	二次	c=2 d=1 t=130706
er dui 	而對	c=1 d=1 t=60461
er duo 	耳朵	c=2 d=1 t=79855
er fen lei 	二分类	c=3 d=1.33454 t=38728
er ge 	二哥	c=1 d=1 t=93572
er guo 	而過	c=1 d=1 t=113805
er huan 	二環	c=1 d=1 t=103266
er ji 	二級	c=5 d=1 t=117344
er ji 	耳機	c=8 d=1 t=112639
er ji neng 	二技能	c=8 d=1 t=84608
er jie 	二階	c=8 d=3.21311 t=109986
er jie dao 	二阶导	c=3 d=1.49411 t=110103
er jie xiang 	二階項	c=1 d=1 t=109987
er jin zhi 	二進制	c=3 d=1 t=77257
er mian 	二面	c=7 d=1 t=133960
er qie 	而且	c=42 d=1.00153 t=128109
er ran 	而然	c=1 d=1 t=32438
er sai 	耳塞	c=4 d=1 t=92761
er san 	二三	c=0 d=0.1 t=45008
er san si 	二三四	c=1 d=1 t=45009
er shi 	二十	c=1 d=1 t=126693
er shi 	兒時	c=1 d=1 t=32951
er shi 	而是	c=7 d=1 t=104917
er shi dang 	二十擋	c=1 d=1 t=70597
er shi nian qian 	二十年前	c=1 d=1 t=92268
er shou 	二手	c=2 d=1 t=131190
er ta 	二塔	c=3 d=1 t=115238
er tai 	二臺	c=0 d=0.1 t=43617
er tong 	兒童	c=1 d=1 t=108560
er wai 	而外	c=1 d=1 t=97349
er wei 	二位	c=1 d=0.1 t=93608
er wei 	二維	c=1 d=1 t=42755
er wei ma 	二維碼	c=4 d=1.95123 t=107880
er wei ye 	二位爺	c=1 d=1 t=93609
er wo 	而我	c=4 d=1 t=117919
er xian 	二線	c=1 d=1 t=59793
er xing 	而行	c=1 d=1 t=122805
er xue 	耳穴	c=0 d=0.1 t=31883
er xue le 	耳穴了	c=1 d=1 t=31884
er yi 	而以	c=1 d=1 t=51566
er yi 	而已	c=1 d=1 t=115428
er yuan 	二元	c=1 d=1.00075 t=8072
er yuan shu ru 	二元輸入	c=1 d=1 t=7095
er zai 	而在	c=1 d=1 t=116788
er zi 	兒子	c=6 d=1 t=87013
ex 	ex	c=0 d=0.1 t=28150
fa 	法	c=11 d=1 t=133142
fa 	發	c=110 d=1.03691 t=134082
fa 	罰	c=1 d=1 t=70411
fa ban 	发版	c=2 d=1 t=11876
fa bi 	发币	c=1 d=1 t=10176
fa biao 	發表	c=2 d=1 t=131995
fa bu 	發佈	c=9 d=1.9802 t=127497
fa bu hui 	發佈會	c=1 d=1 t=86488
fa cai 	發財	c=1 d=1 t=51604
fa che 	發車	c=6 d=1 t=121583
fa chou 	發愁	c=2 d=1 t=131777
fa chu 	發出	c=1 d=1 t=12035
fa chu lai 	發出來	c=1 d=1 t=69383
fa chuan 	法穿	c=2 d=1 t=91414
fa chuan bang 	法穿棒	c=1 d=1 t=69360
fa chuan xie 	法穿鞋	c=1 d=1 t=31986
fa ci 	法刺	c=1 d=1 t=72842
fa cuo le 	发错了	c=2 d=1 t=124958
fa da dao 	發達到	c=0 d=0.184789 t=40940
fa da dao fen 	發達到分	c=2 d=1.84789 t=40941
fa dan 	罰單	c=1 d=1 t=133226
fa de 	發的	c=1 d=1 t=81315
fa dian 	發電	c=1 d=1 t=53940
fa dian 	發點	c=1 d=1 t=72860
fa dou 	發抖	c=2 d=1 t=90538
fa fang 	發放	c=4 d=1 t=134664
fa feng 	發瘋	c=1 d=1 t=12761
fa ge 	發個	c=18 d=1 t=130306
fa gei 	發給	c=2 d=1 t=107783
fa gei ni 	發給你	c=3 d=1 t=89726
fa gei wo 	发给我	c=1 d=1 t=74650
fa gong zi 	發工資	c=6 d=1 t=108449
fa guang 	發光	c=0 d=0.1 t=15708
